id,cargo,senioridade,setor,salario,regiao,empresa,modalidade,created_at,updated_at,ano,em_alta,area,especialidade
1,"Analista TI Pleno",pl,TI,6501.00,SP,NULL,presencial,"2025-02-28 01:56:10","2025-02-28 01:56:10",2025,NULL,NULL,NULL
2,"Analista de TI Pleno",pl,TI,2501.00,SP,NULL,presencial,"2025-02-28 01:56:10","2025-02-28 01:56:10",2025,NULL,NULL,NULL
3,"Analista de TI Pleno",pl,TI,3501.00,SP,NULL,presencial,"2025-02-28 01:56:10","2025-02-28 01:56:10",2025,NULL,NULL,NULL
4,"Analista de TI Sênior",sr,TI,6501.00,SP,NULL,presencial,"2025-02-28 01:56:10","2025-02-28 01:56:10",2025,NULL,NULL,NULL
5,"Analista de Governança de TI Sênior",sr,TI,8501.00,SP,NULL,presencial,"2025-02-28 01:56:10","2025-02-28 01:56:10",2025,NULL,NULL,NULL
6,"Analista de Suprimentos Pleno",NULL,TI,5501.00,SP,NULL,presencial,"2025-02-28 01:56:10","2025-02-28 01:56:10",2025,NULL,NULL,NULL
7,"Analista Sr. Tax Technology",NULL,TI,8501.00,SP,NULL,presencial,"2025-02-28 01:56:10","2025-02-28 01:56:10",2025,NULL,NULL,NULL
8,"Mestre de Obras",NULL,"Construção Civil",7501.00,SP,NULL,presencial,"2025-02-28 01:56:10","2025-02-28 02:05:15",2025,NULL,NULL,NULL
9,"Mestre de Obras",NULL,"Construção Civil",12501.00,SP,NULL,presencial,"2025-02-28 01:56:10","2025-02-28 02:05:15",2025,NULL,NULL,NULL
10,"MESTRE DE OBRAS",NULL,"Construção Civil",5501.00,SP,NULL,presencial,"2025-02-28 01:56:10","2025-02-28 02:05:15",2025,NULL,NULL,NULL
11,"Mestre de Obras",NULL,"Construção Civil",6501.00,SP,NULL,presencial,"2025-02-28 01:56:10","2025-02-28 02:05:15",2025,NULL,NULL,NULL
12,"Mestre de Obras",NULL,"Construção Civil",3501.00,SP,NULL,presencial,"2025-02-28 01:56:10","2025-02-28 02:05:15",2025,NULL,NULL,NULL
13,"Mestre de Obras",NULL,"Construção Civil",5501.00,SP,NULL,presencial,"2025-02-28 01:56:10","2025-02-28 02:05:15",2025,NULL,NULL,NULL
14,"Mestre de Obras",NULL,"Construção Civil",4501.00,SP,NULL,presencial,"2025-02-28 01:56:10","2025-02-28 02:05:15",2025,NULL,NULL,NULL
15,"Mestre de Obras",NULL,"Construção Civil",7501.00,SP,NULL,presencial,"2025-02-28 01:56:10","2025-02-28 02:05:15",2025,NULL,NULL,NULL
